col1,col2,col3,col4 
_YK0940-1_YK0940-2_YK0940-3_YK0940-4_YK0940-5_YK0940-6________________,2018-04-25,Y2022-10+,Y3833D
_YK0907-1_YK0907-2_YK0907-3_YK0907-4_YK0907-5_YK0907-6_YK0907-7_YK0907-8_YK0907-9_YK0907-10____________,2018-04-18,Y6023D+,Y11876D
_YK0868-1_YK0868-2_YK0868-3_YK0868-4_YK0868-5_________________,2018-04-09,Y932-13+,Y3937D
_YK0845-1_YK0845-2_YK0845-3_YK0845-4_YK0845-5_________________,2018-03-31,Y724-4+,Y2874D
_YK0763-1_YK0763-2_YK0763-3_YK0763-4_YK0763-5_YK0763-6_YK0763-7_YK0763-8_YK0763-9_YK0763-10_YK0763-11_YK0763-12_YK0763-13_________,2018-03-19,Y724-4+,Y4692D
_LK0629-1_LK0629-2_LK0629-3___________________,2018-03-03,L7120D+,L5181D
_LK0626-1_LK0626-2_LK0626-3_LK0626-4_LK0626-5_LK0626-6_LK0626-7_______________,2018-03-03,L7120D+,L8066D
_LK0633-1_LK0633-2_LK0633-3___________________,2018-03-03,L4770D+,L8213D
_LK0627-1_LK0627-2_LK0627-3_LK0627-4_LK0627-5_LK0627-6________________,2018-03-03,L4770D+,L8482D
_YK0631-1_YK0631-2_YK0631-3___________________,2018-03-03,Y5818D+,Y4009D
_LK0619-1_LK0619-2_LK0619-3_LK0619-4_LK0619-5_LK0619-6_LK0619-7_______________,2018-03-02,L4770D+,L5138D
_YK0607-1_YK0607-2_YK0607-3_YK0607-4_YK0607-5_YK0607-6_YK0607-7_YK0607-8_YK0607-9_____________,2018-03-01,Y5780D+,Y3947D
_YK0615-1_YK0615-2_YK0615-3_YK0615-4_YK0615-5_YK0615-6________________,2018-03-01,Y5780D+,Y4409D
_YK0608-1_YK0608-2_YK0608-3_YK0608-4_YK0608-5_YK0608-6_YK0608-7_YK0608-8______________,2018-03-01,Y5818D+,Y4434D
_YK0604-1_YK0604-2_YK0604-3_YK0604-4_YK0604-5_YK0604-6_YK0604-7_YK0604-8_YK0604-9_YK0604-10_YK0604-11___________,2018-02-27,Y6035D+,Y3808D
_YK0596-1_YK0596-2_YK0596-3_YK0596-4_YK0596-5_YK0596-6_YK0596-7_YK0596-8_YK0596-9_YK0596-10_YK0596-11___________,2018-02-27,Y5780D+,Y4081D
_YK0603-1_YK0603-2_YK0603-3_YK0603-4_YK0603-5_________________,2018-02-27,Y6190D+,Y4471D
_YK0597-1_YK0597-2_YK0597-3_YK0597-4_YK0597-5_YK0597-6_YK0597-7_______________,2018-02-27,Y5818D+,Y4496D
_YK0588-1_YK0588-2____________________,2018-02-26,Y5780D+,Y3889D
_YK0593-1_YK0593-2_YK0593-3_YK0593-4_YK0593-5_YK0593-6_YK0593-7_YK0593-8_YK0593-9_YK0593-10____________,2018-02-26,Y5818D+,Y4390D
_LK0581-1_LK0581-2_LK0581-3___________________,2018-02-25,L7066D+,L8366D
_LK0575-1_LK0575-2_LK0575-3_LK0575-4_LK0575-5_LK0575-6________________,2018-02-25,L7120D+,L8444D
_YK0577-1_YK0577-2_YK0577-3_YK0577-4_YK0577-5_YK0577-6________________,2018-02-25,Y932-13+,Y3915D
__,2018-02-24,Y6190D+,Y3932D
_YK0561-1_YK0561-2_YK0561-3_YK0561-4__________________,2018-02-24,Y879-7+,Y4110D
